Peak;m/z;Intensity;RT (min)
1;151.007;320000;2.05
2;172.990;110000;2.10
3;76.008;80000;2.18
4;221.007;410000;4.45
5;242.990;160000;4.50
6;238.034;120000;4.55
7;441.007;90000;4.60
8;306.207;510000;6.75
9;328.190;140000;6.80
10;323.234;100000;6.88
11;411.507;600000;9.05
12;433.490;210000;9.10
13;206.258;95000;9.18
14;513.307;450000;11.65
15;535.290;170000;11.70
16;1025.607;75000;11.78
17;621.007;380000;13.85
18;642.990;130000;13.90
19;638.034;95000;13.98
20;736.407;520000;16.15
21;758.390;190000;16.20
22;753.434;145000;16.25
23;368.708;85000;16.30
24;846.007;340000;18.25
25;867.990;150000;18.30
26;1691.007;70000;18.35
27;389.123;60000;3.20
28;512.789;45000;7.40
29;700.456;55000;12.30
30;950.321;50000;15.60
